# x,y,chamber_size_x,chamber_size_y
66,105,70,70
138,105,70,70
206,105,70,70
272,106,70,70
344,106,70,70
417,108,70,70
481,110,70,70
551,110,70,70
625,110,70,70
691,114,70,70
761,114,70,70
830,114,70,70
900,114,70,70
966,114,70,70
1040,114,70,70
1108,114,70,70
1178,114,70,70
1249,114,70,70
1312,114,70,70
1385,112,70,70
1453,112,70,70
1525,112,70,70
1595,114,70,70
1661,114,70,70
1734,116,70,70
1804,116,70,70
64,193,70,70
136,193,70,70
206,193,70,70
277,198,70,70
344,195,70,70
412,195,70,70
481,196,70,70
551,196,70,70
623,198,70,70
691,196,70,70
762,200,70,70
830,200,70,70
898,200,70,70
970,200,70,70
1040,196,70,70
1108,198,70,70
1178,196,70,70
1246,198,70,70
1314,198,70,70
1385,200,70,70
1453,200,70,70
1523,202,70,70
1591,202,70,70
1661,202,70,70
1731,202,70,70
1799,204,70,70
61,871,70,70
130,873,70,70
202,874,70,70
272,874,70,70
336,874,70,70
406,876,70,70
474,876,70,70
542,876,70,70
612,876,70,70
683,876,70,70
753,876,70,70
823,876,70,70
893,876,70,70
963,876,70,70
1031,876,70,70
1101,876,70,70
1170,876,70,70
1240,876,70,70
1310,876,70,70
1380,876,70,70
1448,876,70,70
1516,874,70,70
1584,874,70,70
1657,874,70,70
1727,874,70,70
1797,874,70,70
57,963,70,70
125,963,70,70
198,963,70,70
268,963,70,70
336,963,70,70
402,963,70,70
472,963,70,70
544,964,70,70
617,966,70,70
683,966,70,70
755,966,70,70
825,968,70,70
893,966,70,70
965,968,70,70
1033,970,70,70
1102,966,70,70
1174,968,70,70
1244,966,70,70
1310,968,70,70
1382,968,70,70
1451,966,70,70
1519,966,70,70
1591,966,70,70
1661,968,70,70
1731,970,70,70
1799,968,70,70
